"Mã linh kiện","Tên linh kiện","Cần","Đã có","Cần mua","Đơn giá VND","Thành tiền VND","Xác minh","Nguồn thông tin","Thuộc bộ kit","Phạm vi"
"MKE-R01","Bộ khung MKE-R01 4WD","1","1","0","245000","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","","Trên robot"
"MKE-R01-FRAME","Khung chữ U acrylic MKE-R01","1","1","0","Trong giá kit","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","mke-r01-kit","Trên robot"
"TT-MOTOR","Động cơ TT trong kit","4","4","0","Trong giá kit","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","mke-r01-kit","Trên robot"
"TT-WHEEL","Bánh xe TT Ø65 mm","4","4","0","Trong giá kit","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","mke-r01-kit","Trên robot"
"BATTERY-DECK","Tấm gá pin acrylic trong kit","1","1","0","Trong giá kit","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","mke-r01-kit","Trên robot"
"BATTERY-HOLDER","Khay 2 × 18650 nối tiếp","1","1","0","Trong giá kit","0","Chưa xác minh","https://hshop.vn/khung-xe-mke-r01-4wd-robot-car-chassis-tt-motor — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","mke-r01-kit","Trên robot"
"SUNPOWER-18650-2500","Sunpower 18650 2500 mAh","2","2","0","45000","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"POWER-SWITCH","Công tắc tích hợp khay pin","1","1","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"MKE-M17","MKE-M17 L9110 I2C","1","1","0","85000","0","Chưa xác minh","https://hshop.vn/mach-dieu-khien-dong-co-dc-mke-m17-l9110-i2c-motor-driver-module — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","","Trên robot"
"MKE-B01","MKE-B01 IO Shield","1","1","0","90000","0","Chưa xác minh","https://github.com/makereduvn/MKE-B01-ESP32-S3-DK-IO-SHIELD — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","","Trên robot"
"MKE-K01-N4","MKE-K01 ESP32-S3 N4","1","1","0","Chưa có giá","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"MKE-S01","MKE-S01 siêu âm phía trước","1","1","0","Chưa có giá","0","Chưa xác minh","https://github.com/makereduvn/MKE-S01-ULTRASONIC-DISTANCE-SENSOR — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","","Trên robot"
"SONAR-BRACKET","Gá cảm biến acrylic trong kit","1","1","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"GALAXY-NOTE9","Samsung Galaxy Note 9","1","1","0","Chưa có giá","0","Chưa xác minh","https://www.samsung.com/my/support/mobile-devices/what-is-the-difference-between-the-galaxy-note8-and-note9/ — đối chiếu 20/09/2026. Tọa độ gá và hình dạng chi tiết là bố trí sơ bộ, chưa đo thực tế.","","Trên robot"
"PHONE-CRADLE","Gá kẹp Note 9 — cần gia công","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"PHONE-SUPPORT","Trụ đỡ gá điện thoại — cần gia công","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"PHONE-FOOT","Chân đế giá điện thoại — cần gia công","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"STANDOFF10","Trụ M3 F-F 10 mm trong kit","4","10","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"USB-CHARGER","Sạc USB 2 ngăn — dùng ngoài xe","1","1","0","Chưa có giá","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Dụng cụ ngoài xe"
"JUMPER-RIBBON","Tép dây M-F 20 cm / 40 sợi","1","1","0","Chưa có giá","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"POWER-WIRE","Dây điện đỏ đen — đơn vị mét","2","2","0","Chưa có giá","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"DC-JACK","Giắc DC 5,5 × 2,1 mm","2","2","0","Chưa có giá","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Trên robot"
"M3X6","Ốc M3 × 6 trong kit","16","30","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"M3X30","Bộ ốc tán M3 × 30 trong kit","8","8","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"M3X10","Bộ ốc tán M3 × 10 trong kit","5","5","0","Trong giá kit","0","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","mke-r01-kit","Trên robot"
"PACK-PROTECTION","Bảo vệ pin 2S + cầu chì","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Đề xuất — chưa chọn mẫu"
"LOGIC-REGULATOR","Phương án nguồn ổn định cho logic","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Đề xuất — chưa chọn mẫu"
"QUICK-SWAP","Ray/ngàm khay pin tháo nhanh","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Đề xuất — chưa chọn mẫu"
"LIDAR","LiDAR 2D — chưa chọn mẫu","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Đề xuất — chưa chọn mẫu"
"ODOMETRY","Phương án odometry / IMU","1","0","1","Chưa có giá","Chưa tính được","Chưa xác minh","personal_robot_requirements.md do người dùng cung cấp; chưa đo trên linh kiện đang sở hữu.","","Đề xuất — chưa chọn mẫu"
